名称,大类,中类,地址,经度,纬度,省份,城市,区域,教育质量,消费场所,医疗健康,旅游资源,交通运输
杨浦区新江湾城(建设中),商务住宅,住宅区,[],121.511878,31.325458,上海市,上海市,杨浦区,0.23034621313815584,0.14638979174364533,0.1969702583037282,0.19923265014765054,0.19243124353557534
杨浦区新江湾城(建设中),商务住宅,别墅,[],121.511878,31.325458,上海市,上海市,杨浦区,0.23034621313815584,0.14638979174364533,0.1969702583037282,0.19923265014765054,0.19243124353557534
民庆家园,商务住宅,住宅区,民京路658弄之1-21号,121.519574,31.321106,上海市,上海市,杨浦区,0.6670302208121603,0.3784654610380526,0.22849063079477439,0.23766584821877357,0.5692939255256361
民庆家园1期,商务住宅,其他,闸殷路与民庆路交叉口东120米,121.518993,31.320342,上海市,上海市,杨浦区,0.6667290435445058,0.4102141966455238,0.23233123411072035,0.24049128030114542,0.5685857237551578
民庆家园2期,商务住宅,其他,民京路与宁城路交叉口西120米,121.520111,31.321481,上海市,上海市,杨浦区,0.6675582777846645,0.373923039337892,0.2278110470472851,0.23731796914659425,0.5575630062866983
杨浦都市工业园区市京分园,商务住宅,产业园区,民京路781号,121.52026,31.319844,上海市,上海市,杨浦区,0.6683616382077503,0.4821357262098731,0.2651086002724488,0.331186307342012,0.5682082479667155
杨浦都市工业园区市京分园1栋,商务住宅,产业园区,民京路781号,121.5206,31.320467,上海市,上海市,杨浦区,0.6687763990249416,0.4635521564505906,0.23921576017406904,0.2864204778044566,0.5687128634020429
加州·水郡,商务住宅,住宅区,国秀路599弄1-15号,121.512057,31.33187,上海市,上海市,杨浦区,0.22727585528696828,0.13782935330344914,0.19098956809435375,0.18952502296134802,0.17717804146063565
中建大公馆,商务住宅,别墅,政和路538弄1-230号,121.514926,31.330728,上海市,上海市,杨浦区,0.28465404616135986,0.14236241615618528,0.1935395131322815,0.19187358359107315,0.18225804105358717
新江湾城·首府,商务住宅,别墅,国秀路88弄1-103号,121.516726,31.33332,上海市,上海市,杨浦区,0.2609795008213537,0.1426554318253353,0.19268010634260324,0.18884021956834168,0.1772772417291343
中建府邸,商务住宅,住宅区,国秀路与政和路交叉口东南220米,121.514932,31.330729,上海市,上海市,杨浦区,0.2852110314726021,0.14237114212319638,0.19354339537551457,0.19187523951692886,0.18226259238073902
嘉誉云景,商务住宅,写字楼,殷行路与政和路交汇处,121.511365,31.329978,上海市,上海市,杨浦区,0.2267527893175048,0.13841109373538601,0.19157368735338776,0.19092820139827021,0.17909898690399806
尚锦嘉愿,商务住宅,住宅区,江湾城路1199弄1-21号,121.519406,31.334899,上海市,上海市,杨浦区,0.24164589197170797,0.14502086336002906,0.1919857797188668,0.18832379566064805,0.17242990902052924
新江湾人才公寓,商务住宅,住宅区,国浩路88号附近,121.519466,31.334888,上海市,上海市,杨浦区,0.2418543491620266,0.14513607737722609,0.19202425323602676,0.18838509255934824,0.172442218368334
首府,商务住宅,住宅区,国秀路与江湾城路交叉口西北140米,121.51675,31.333287,上海市,上海市,杨浦区,0.2658408454268074,0.14273180142107375,0.1927260133021053,0.1888897941689189,0.17737071794103682
国安社区,商务住宅,住宅区,国浩路179弄1-17号新江湾生活广场F1,121.517183,31.33546,上海市,上海市,杨浦区,0.23278083991411552,0.14094982095843994,0.19058338927188276,0.18641317937469012,0.17154076619124067
书香门第(新江湾城馆),商务住宅,其他,国浩路179弄195号,121.517154,31.335464,上海市,上海市,杨浦区,0.2326850740956204,0.14090883836455834,0.19057310599517976,0.18639949764604627,0.17153898630698533
江湾国际社区睦邻中心,商务住宅,其他,政和路与国浩路交叉口北220米,121.516852,31.337667,上海市,上海市,杨浦区,0.218708537354942,0.13868282905815588,0.18841158869229735,0.18465670981687918,0.1660941545773517
寓享十青年社区,商务住宅,其他,政和路979号二楼,121.516583,31.337244,上海市,上海市,杨浦区,0.22081983934106683,0.13872337933365375,0.18876715017049586,0.18493951761380595,0.16724651610898833
江湾国际公寓,商务住宅,住宅区,政和路999弄1-80号,121.515165,31.337995,上海市,上海市,杨浦区,0.21384127228535424,0.13725872462593336,0.18820498375521894,0.1847543192810541,0.16599443811116646
橡树湾,商务住宅,住宅区,新江湾城国浩路88号,121.520178,31.338306,上海市,上海市,杨浦区,0.21721103352526736,0.1414441796083726,0.18804318803278025,0.18475522192942287,0.16259488157232765
华润·新江湾九里,商务住宅,住宅区,国帆路(地铁站)1号口步行635米,121.517595,31.339184,上海市,上海市,杨浦区,0.21038877412923865,0.13822415761977838,0.1872688248321847,0.18399660369667756,0.16203160673052955
嘉誉湾,商务住宅,住宅区,淞沪路1888号(近五角场),121.509146,31.332342,上海市,上海市,杨浦区,0.2127862372360755,0.13551818729972812,0.18911956643884606,0.18834863718152525,0.1734135465072995
嘉誉国际广场,商务住宅,写字楼,殷行路1286号,121.508359,31.329903,上海市,上海市,杨浦区,0.2118841225225368,0.13588036108137788,0.18982717173512118,0.18941150796949424,0.17470765338157868
